feature,importance
V294,0.02786246314218281
C12,0.02512629590344694
V283,0.020599882289977955
V317,0.02029440893886772
V279,0.019613196250141445
V258,0.0184757459153974
V280,0.01800641112956742
V274,0.01694053505795729
C14,0.016503530671937126
card6_credit,0.015404196457095
V229,0.014677194504243915
V295,0.01462461852993321
V308,0.014436988817104639
V282,0.013862432030920682
V232,0.0128727716784439
V102,0.012281179116481944
V95,0.01221385075704453
V29,0.01209863564290688
V97,0.011930688374646862
D3,0.011927860400558172
C8,0.011869449063956676
V70,0.011795705941657153
C1,0.011559817704285236
V288,0.011270951306036489
V69,0.011185903054296297
V265,0.010863509268828014
V318,0.01052390149851782
V34,0.010324956064382995
V30,0.01005249156904641
C13,0.009976709384700928
V217,0.009775984275272744
V264,0.009747895798894565
V204,0.009167196525772718
V287,0.008810946697405793
C11,0.008754010477528993
C2,0.008549294073092675
V293,0.008380097046853238
V257,0.008285407803245133
V219,0.008267798689074086
TransactionAmt_decimal,0.008160398964926586
V306,0.007899654040183064
C4,0.007692044398272329
V134,0.007560623176290891
V90,0.007177666949184297
V128,0.00715165033493935
V171,0.007121198042681311
V275,0.006822222206977904
V126,0.006664928951105312
V33,0.00653104420309656
V312,0.006450000774377417
C6,0.006225201591002902
V263,0.006197304148953994
V94,0.006128317604107585
V52,0.006124920226211853
V289,0.005962926678938352
V96,0.005959102338970934
V91,0.0059544345413642145
V199,0.00593042825134164
C10,0.005928931383340181
V73,0.0057036884251690035
TransactionAmt_is_round,0.0054164495875684785
card6_debit,0.005377686711284043
V218,0.00529481295702562
V74,0.005257352303956821
D2,0.005039303567810846
V101,0.004939559149028668
V103,0.004716441502234223
V190,0.004574675393011101
V203,0.004552192377232297
V291,0.004421751485621275
D5,0.004281513169727599
V230,0.003942383525109221
TransactionAmt,0.003937939384423994
V314,0.003896675467274596
V246,0.0037817751705539484
V285,0.0037323076323696087
V133,0.0036973697646517224
V57,0.003669815824490944
V284,0.003575456896567259
V281,0.0035075751196717007
V53,0.003394355879529351
D1,0.003380780009316817
V100,0.003303431532241639
V48,0.0032021690502059778
V49,0.0031395604561199365
C5,0.0030331923857464704
V12,0.0030082150016915664
C7,0.002980391379024283
V292,0.002977834155787036
V201,0.0029617068936581207
V313,0.0029604219276025273
V76,0.002951144600980816
V98,0.002933427310699865
V79,0.0028698433225966963
V168,0.002746679397007479
V127,0.002735225543801628
V290,0.002707518513472933
V233,0.0027012568136214727
V99,0.002669013505462091
V15,0.0026527034439649683
M5_T,0.0025340757381350563
V228,0.0025036622816038447
M4_M2,0.0024651574931491803
V167,0.0024621922643988806
V131,0.002455847009083316
V35,0.0024110111501831778
V10,0.0023869691768466194
V51,0.0023806537658845974
email_match,0.002378320327732993
V45,0.002341642378211367
V11,0.002325747702954667
V316,0.0023084107969241164
V54,0.0023009553155167056
V75,0.002297957216995006
V315,0.0022751157604832357
id_12_NotFound,0.002184400464844643
V36,0.002147669969522399
TransactionAmt_log,0.0021034986744845703
V58,0.002088820361001016
V62,0.002040352557291817
V72,0.002033756054373321
V71,0.0019624819458064274
V44,0.001911351835266954
V13,0.0018997817299706138
V105,0.0018537538207830054
V31,0.0018197280240218447
V87,0.001784962039313177
V307,0.0017633154116494581
id_01,0.001746595991693062
V104,0.0016921540588936761
card2,0.0016741648726012876
V19,0.0016690486832020353
TransactionDT,0.0016601487724450556
D4,0.0016591831011614393
Transaction_day,0.0016346375691176588
V200,0.0016336889880427844
V298,0.001630736374847958
id_17,0.0015900525121318417
C9,0.001579644790131181
V309,0.0015738817923141063
M5_Unknown,0.0015517565390235511
V16,0.0015207701495583968
V106,0.0015144486822447787
P_emaildomain,0.0014792593489655653
card3,0.0014517496847996575
card5,0.0014504532909036345
V124,0.0014261248555653436
V187,0.0014252662704801876
V93,0.001402624161412008
V176,0.0013981571247825863
M4_Unknown,0.0013908300087985606
V20,0.001339830241424879
V286,0.0013308960851614218
V125,0.001323293475460922
D10,0.001319468878324728
V61,0.001305649606363737
D15,0.0012936717092339141
card1,0.001289143854420537
card4_visa,0.0012770093037045701
V82,0.0012561440670650784
V170,0.0012371120033204286
V129,0.0012344746318230183
V310,0.0012213440392774796
V92,0.0012180321536554193
V299,0.0012117897947485335
V86,0.0011648466191569722
addr1_addr2,0.0011077174485138186
V297,0.0011035112956293838
V253,0.0010757458628741583
V83,0.0010588576690892266
DeviceInfo,0.0010563317680422574
R_emaildomain,0.0010557023858164928
card1_card2,0.0010220594704271053
D11,0.0010146048845511234
V223,0.0010014890667800899
V213,0.0009632268819728752
V296,0.0009430184722551708
V56,0.0009338151602866907
M2_Unknown,0.0009259123034847354
V320,0.0009138145882538185
V132,0.0009038803200750563
V130,0.000888812587718816
V32,0.0008662355136789194
V221,0.0008604756621041507
V40,0.0008416279006110813
V242,0.0008080380756384138
V67,0.000805972577559188
addr1,0.0007971714506439006
V21,0.0007797010139022368
V251,0.0007693995118391468
V259,0.0007238163579793151
V136,0.0007149416861756991
V123,0.0006908901891815321
M3_Unknown,0.0006890295531597959
V4,0.0006873867853029336
V301,0.0006842836900163761
V60,0.0006771982215119297
V38,0.0006707264150255393
V256,0.0006472497574705351
V222,0.0006451179033683176
V85,0.0006442590365261459
V179,0.0006388444381774178
P_email_suffix_missing,0.0006354517100452457
V202,0.000627928928585043
V37,0.0006159689217291049
id_16_NotFound,0.0005956231259918605
id_15_New,0.000592572261346965
V321,0.0005904910039805641
id_06,0.0005885317230793139
card4_mastercard,0.0005881783227886774
V50,0.0005736302788455481
dist1,0.0005720892036708931
V189,0.0005706320754941427
V173,0.0005590931179500865
id_31,0.000556682045263161
V237,0.000553019538689551
V188,0.0005499309834551189
V5,0.0005498800088906833
V303,0.0005484080430137393
V174,0.0005427339405172731
M1_T,0.0005302552412936938
V250,0.0005183286043670675
Transaction_hour,0.0005145103360265247
V180,0.0005093683339232702
V243,0.0005086932560866741
V255,0.0005068086696885783
V178,0.0005065923101952239
V302,0.0005005537591215863
V245,0.0004928159816310802
V59,0.0004837233128757986
